show,hour,feed1,Loudness,LRA,Peak,driver,date
me,hour2,feed1,-28.4,7.8,-6.8,,02/11/2014
me,hour2,feed2,-28.1,6.8,-8.2,,02/11/2014
me,hour2,feed3,-27.8,6.9,-7.2,,02/11/2014
tmm,hour1,feed1,-29.9,8.1,-6.7,Stalnaker,02/11/2014
fa,hour1,feed1,-30.7,10,-9.3,,02/11/2014
han,hour2,feed1,-29.8,7.6,-7.7,,02/11/2014
han,hour2,feed2,-28.6,7.9,-8,,02/11/2014
atc,hour2,feed1,-27.9,6.4,-4.1,Rushfield,02/11/2014
atc,hour2,feed2,-27.7,6.4,-4,Rushfield,02/11/2014
atc,hour2,feed3,-27.9,6.4,-3.5,Rushfield,02/11/2014
me,hour2,feed1,-28.1,6.6,-8.2,Jarboe,02/12/2014
me,hour2,feed2,-28,6.4,-5.5,Jarboe,02/12/2014
me,hour2,feed3,-27.9,6,-6,Jarboe,02/12/2014
tmm,hour1,feed1,-30.8,7.7,-5.3,Stalnaker,02/12/2014
fa,hour1,feed1,-31.3,9,-9.3,,02/12/2014
han,hour2,feed1,-28.5,8,-9.6,,02/12/2014
han,hour2,feed2,-28.2,8,-3.7,,02/12/2014
atc,hour2,feed1,-27.6,6.9,-3.5,Rushfield,02/12/2014
atc,hour2,feed2,-27.5,7.1,-3.6,Rushfield,02/12/2014
atc,hour2,feed3,-27.6,7.1,-5.5,Rushfield,02/12/2014
me,hour2,feed1,-28.6,6.3,-5.9,Jarboe,02/13/2014
me,hour2,feed2,-28.4,6.2,-6.7,Jarboe,02/13/2014
me,hour2,feed3,-28.4,6.3,-5.9,Jarboe,02/13/2014
tmm,hour1,feed1,-30.2,8.3,-8.7,Stalnaker,02/13/2014
fa,hour1,feed1,-29.6,6.9,-7.2,,02/13/2014
han,hour2,feed1,-31.4,8.3,-5.2,,02/13/2014
han,hour2,feed2,-28.6,9,-6.6,,02/13/2014
atc,hour2,feed1,-27.8,5.9,-5.3,Rushfield,02/13/2014
atc,hour2,feed2,-28,5.9,-5.2,Rushfield,02/13/2014
atc,hour2,feed3,-28.1,5.9,-5.2,Rushfield,02/13/2014
me,hour2,feed1,-28.6,6.4,-6.4,Jarboe,02/14/2014
me,hour2,feed2,-27.8,6.5,-2.3,Jarboe,02/14/2014
me,hour2,feed3,-27.9,6.4,-4.8,Jarboe,02/14/2014
tmm,hour1,feed1,-28.2,8.7,-4.6,Stalnaker,02/14/2014
fa,hour1,feed1,-29.8,10.9,-6.9,,02/14/2014
han,hour2,feed1,-30.7,8.5,-6,,02/14/2014
han,hour2,feed2,-29.3,8.7,-5.9,,02/14/2014
atc,hour2,feed1,-28.3,7.1,-5.1,Rushfield,02/14/2014
atc,hour2,feed2,-28.1,6.9,-5,Rushfield,02/14/2014
atc,hour2,feed3,-28.2,7.2,-4.9,Rushfield,02/14/2014
wesat,hour2,feed1,-28.7,7.7,-5.8,,02/15/2014
wesat,hour2,feed2,-27.5,8.5,-5.6,,02/15/2014
wesat,hour2,feed3,-27.5,8.5,-5.1,,02/15/2014
watc,hour1,feed2,-27.7,8.1,-5.9,,02/15/2014
watc,hour1,feed4,-29.9,7.7,-7.7,,02/15/2014
wesun,hour2,feed1,-28,8.2,-1.9,,02/16/2014
wesun,hour2,feed2,-27.7,8.4,-1.9,,02/16/2014
wesun,hour2,feed3,-27.8,8.2,-1.8,,02/16/2014
watc,hour1,feed2,-28.5,7.7,-3.4,,02/16/2014
watc,hour1,feed4,-27.3,7.8,-1.8,,02/16/2014
me,hour2,feed1,-28.3,6.9,-5.5,Jarboe,02/17/2014
me,hour2,feed2,-28.2,7.4,-5.5,Jarboe,02/17/2014
me,hour2,feed3,-28.5,7.9,-5.4,Jarboe,02/17/2014
tmm,hour1,feed1,-33.4,13.8,-7.7,,02/17/2014
fa,hour1,feed1,-31.3,10,-9.5,,02/17/2014
han,hour2,feed1,-31.6,8.3,-10.5,,02/17/2014
han,hour2,feed2,-29.2,7.9,-7.6,,02/17/2014
atc,hour2,feed1,-27.7,6.9,-5.5,,02/17/2014
atc,hour2,feed2,-27.5,6.8,-5.6,,02/17/2014
atc,hour2,feed3,-27.5,6.8,-5.6,,02/17/2014
me,hour2,feed1,-28.1,6.5,-6.5,Jarboe,02/18/2014
me,hour2,feed2,-28.1,6.6,-6.4,Jarboe,02/18/2014
me,hour2,feed3,-28.3,6.4,-5.3,Jarboe,02/18/2014
tmm,hour1,feed1,-29.4,7,-8.5,,02/18/2014
fa,hour1,feed1,-29.4,9.7,-7,,02/18/2014
han,hour2,feed1,-31.7,8.8,-6.7,,02/18/2014
han,hour2,feed2,-29.6,8.6,-6,,02/18/2014
atc,hour2,feed1,-27.5,6.5,-2.2,Rushfield,02/18/2014
atc,hour2,feed2,-27.8,7.8,-2.2,Rushfield,02/18/2014
atc,hour2,feed3,-28.1,7.4,-2.2,Rushfield,02/18/2014
me,hour2,feed1,-27.9,6.4,-6.1,Jarboe,02/19/2014
me,hour2,feed2,-27.4,6.6,-5.3,Jarboe,02/19/2014
me,hour2,feed3,-27.5,6.6,-4.6,Jarboe,02/19/2014
tmm,hour1,feed1,-29.4,6.7,-7.2,Tevault,02/19/2014
fa,hour1,feed1,-28.8,8,-6.9,,02/19/2014
han,hour2,feed1,-31.1,7.3,-7.4,,02/19/2014
han,hour2,feed2,-28.1,7.6,-6.8,,02/19/2014
atc,hour2,feed1,-26.2,6.9,-3.6,Rushfield,02/19/2014
atc,hour2,feed2,-27.1,7.3,-5,Rushfield,02/19/2014
atc,hour2,feed3,-27.2,7.3,-5,Rushfield,02/19/2014
me,hour2,feed1,-27.8,6.7,-4.7,Jarboe,02/20/2014
me,hour2,feed2,-27.5,6.3,-4.4,Jarboe,02/20/2014
me,hour2,feed3,-27.3,6.7,-3.6,Jarboe,02/20/2014
tmm,hour1,feed1,-30,8.6,-5.9,,02/20/2014
fa,hour1,feed1,-30.2,11.3,-6.5,,02/20/2014
han,hour2,feed1,-31.4,6.4,-9.3,,02/20/2014
han,hour2,feed2,-27.6,6.4,-5.7,,02/20/2014
atc,hour2,feed1,-27.5,6.2,-5.2,Rushfield,02/20/2014
atc,hour2,feed2,-27.5,6.9,-4.9,Rushfield,02/20/2014
atc,hour2,feed3,-27.4,7,-4.6,Rushfield,02/20/2014
me,hour2,feed1,-27.5,6.4,-6.4,Jarboe,02/21/2014
me,hour2,feed2,-27.2,6.4,-7.2,Jarboe,02/21/2014
me,hour2,feed3,-27.4,6.5,-5.9,Jarboe,02/21/2014
tmm,hour1,feed1,-30.1,9.2,-7.7,Stalnaker,02/21/2014
fa,hour1,feed1,-30.2,9.7,-6,,02/21/2014
han,hour2,feed1,-31.6,8.8,-11.8,,02/21/2014
han,hour2,feed2,-28.4,8.1,-6.3,,02/21/2014
atc,hour2,feed1,-27.3,6.6,-6.8,Rushfield,02/21/2014
atc,hour2,feed2,-27.2,6.7,-5.1,Rushfield,02/21/2014
atc,hour2,feed3,-27.3,6.8,-6.3,Rushfield,02/21/2014
wesat,hour2,feed1,-27.9,8.6,-4.8,,02/22/2014
wesat,hour2,feed2,-27.7,8.4,-4.7,,02/22/2014
wesat,hour2,feed3,-27.4,9.2,-4.7,,02/22/2014
:30 - 7:0 3, Wet ,racks,-29.4,,,,da/y /Tues
5:30 - 18:30 3, Wet ,racks,-27.8,,,,da/y /Tues
 4:30 - 7:0 3, Wet ,racks,-28.3,,,,es/da/Wedn
 15:30 - 18:30 3, Wet ,racks,-26.9,,,,es/da/Wedn
4:30 - 7:0 3, Wet ,racks,-28.7,,,,sd/ay/Thur
15:30 - 18:30 3, Wet ,racks,-27.7,,,,sd/ay/Thur
30 - 7:0 3, Wet ,racks,-28.5,,,,ay/ 4/Frid
:30 - 18:30 3, Wet ,racks,-27.4,7.2,-9.2,,ay/ 1/Frid
7:30 - 10:0 3, Wet ,racks,-28.7,,,,rd/ay/Satu
16:30 - 18:0 3, Wet ,racks,-70,0,,,rd/ay/Satu
30 - 10:0 3, Wet ,racks,-28.2,,,,ay/ 7/Sund
:30 - 18:0 3, Wet ,racks,-70,0,,,ay/ 1/Sund
30 - 7:0 3, Wet ,racks,-28.5,,,,ay/ 4/Mond
:30 - 18:30 3, Wet ,racks,-28,,,,ay/ 1/Mond
:30 - 7:0 3, Wet ,racks,-28.5,6.9,-8.6,,da/y /Tues
5:30 - 18:30 3, Wet ,racks,-27.9,,,,da/y /Tues
 4:30 - 7:0 3, Wet ,racks,-28,,,,es/da/Wedn
4:30 - 7:0 3, Wet ,racks,-28.3,,,,sd/ay/Thur
15:30 - 18:30 3, Wet ,racks,-27.5,,,,sd/ay/Thur
30 - 7:0 3, Wet ,racks,-28,,,,ay/ 4/Frid
:30 - 18:30 3, Wet ,racks,-27.2,,,,ay/ 1/Frid
7:30 - 10:0 3, Wet ,racks,-27.9,,,,rd/ay/Satu
newscast_0,:01 -,00:06,-28.7,6.2,-9.7,,02/11/2014
newscast_0,:01 -,01:06,-28.9,5.1,-5.6,,02/11/2014
newscast_0,:01 -,02:06,-28.5,6.3,-5.5,,02/11/2014
newscast_0,:01 -,03:06,-28.3,5.4,-6.9,,02/11/2014
newscast_0,:01 -,04:06,-28.4,4.8,-10,,02/11/2014
newscast_0,:01 -,05:11,-27.5,7.3,-11.4,,02/11/2014
newscast_0,:30 -,05:35,-28,7.4,-6.2,,02/11/2014
newscast_0,:01 -,06:11,-26.2,8.3,,,02/11/2014
newscast_0,:30 -,06:35,-29.1,6,-9.4,,02/11/2014
newscast_0,:01 -,07:11,-27,7.7,,,02/11/2014
newscast_0,:30 -,07:35,-27.7,6.4,-7.8,,02/11/2014
newscast_0,:01 -,08:11,-27.8,7.2,-10.5,,02/11/2014
newscast_0,:30 -,08:35,-28.5,5.7,-10.4,,02/11/2014
newscast_0,:01 -,09:11,-27.5,7.7,-8.6,,02/11/2014
newscast_0,:30 -,09:35,-29.1,4.6,-8,,02/11/2014
newscast_1,:01 -,10:11,-26.6,7.6,,,02/11/2014
newscast_1,:30 -,10:35,-28.4,5,-6.9,,02/11/2014
newscast_1,:01 -,11:11,-26.6,7.8,,,02/11/2014
newscast_1,:30 -,11:35,-29.3,4.8,-7.1,,02/11/2014
newscast_1,:01 -,12:06,-27.7,7.2,-10,,02/11/2014
newscast_1,:01 -,13:06,-28.9,7.2,-8.2,,02/11/2014
newscast_1,:01 -,14:06,-31.1,8,-7.4,,02/11/2014
newscast_1,:01 -,15:06,-30.2,7,-8.4,,02/11/2014
newscast_1,:01 -,16:06,-29.4,9.6,-8,,02/11/2014
newscast_1,:30 -,16:35,-28.9,5.9,-10.9,,02/11/2014
newscast_1,:01 -,17:06,-27.9,7,-8,,02/11/2014
newscast_1,:30 -,17:35,-27,8.1,,,02/11/2014
newscast_1,:01 -,18:06,-27.7,5.4,-10.1,,02/11/2014
newscast_1,:30 -,18:35,-27.6,7,-10.3,,02/11/2014
newscast_1,:01 -,19:06,-27.1,5.5,,,02/11/2014
newscast_1,:30 -,19:35,-26.5,7.7,,,02/11/2014
newscast_2,:01 -,20:06,-28.7,5.5,-9.8,,02/11/2014
newscast_2,:30 -,20:35,-28.6,7.3,-11.3,,02/11/2014
newscast_2,:01 -,21:06,-28.3,6.5,-7.8,,02/11/2014
newscast_2,:30 -,21:35,-26.7,7,,,02/11/2014
newscast_2,:01 -,22:06,-27.8,7.5,-6.6,,02/11/2014
newscast_2,:01 -,23:06,-28.4,5.3,-10.5,,02/11/2014
newscast_0,:01 -,00:06,-28.2,4.9,-6.5,,02/12/2014
newscast_0,:01 -,01:06,-28.6,5.4,-10.9,,02/12/2014
newscast_0,:01 -,02:06,-28.3,5.6,-7.8,,02/12/2014
newscast_0,:01 -,03:06,-28.5,5.5,-8.7,,02/12/2014
newscast_0,:01 -,04:06,-28.1,5.5,-7.6,,02/12/2014
newscast_0,:01 -,05:11,-27,7.8,,,02/12/2014
newscast_0,:30 -,05:35,-28.9,5.1,-8.6,,02/12/2014
newscast_0,:01 -,06:11,-26.9,7.7,,,02/12/2014
newscast_0,:30 -,06:35,-28.9,4.9,-8.5,,02/12/2014
newscast_0,:01 -,07:11,-26.3,8.5,,,02/12/2014
newscast_0,:30 -,07:35,-28.1,5.8,-10.5,,02/12/2014
newscast_0,:01 -,08:11,-27.3,7.7,-7.2,,02/12/2014
newscast_0,:30 -,08:35,-28.1,4.7,-6.8,,02/12/2014
newscast_0,:01 -,09:11,-27.3,7.7,-9.8,,02/12/2014
newscast_0,:30 -,09:35,-29.3,5.1,-6.5,,02/12/2014
newscast_1,:01 -,10:11,-26.9,7.4,,,02/12/2014
newscast_1,:30 -,10:35,-28.9,4.1,-9.3,,02/12/2014
newscast_1,:01 -,11:11,-26.8,8.2,,,02/12/2014
newscast_1,:30 -,11:35,-28.4,4.4,-9.8,,02/12/2014
newscast_1,:01 -,12:06,-28.9,5.6,-9.2,,02/12/2014
newscast_1,:01 -,13:06,-28.6,5.9,-11.7,,02/12/2014
newscast_1,:01 -,14:06,-27.9,10.2,-11.4,,02/12/2014
newscast_1,:01 -,15:06,-28.1,7.4,-9,,02/12/2014
newscast_1,:01 -,16:06,-27.2,5.8,,,02/12/2014
newscast_1,:30 -,16:35,-25.8,6.2,,,02/12/2014
newscast_1,:01 -,17:06,-26.5,6.4,,,02/12/2014
newscast_1,:30 -,17:35,-26.1,7.8,,,02/12/2014
newscast_1,:01 -,18:06,-27.4,5.7,-7,,02/12/2014
newscast_1,:30 -,18:35,-25.9,6.2,,,02/12/2014
newscast_1,:01 -,19:06,-27.8,5.8,-9.9,,02/12/2014
newscast_1,:30 -,19:35,-25.7,7.3,,,02/12/2014
newscast_2,:01 -,20:06,-27.1,6.6,,,02/12/2014
newscast_2,:30 -,20:35,-25.6,7.5,,,02/12/2014
newscast_2,:01 -,21:06,-27.5,7.3,-8.8,,02/12/2014
newscast_2,:30 -,21:35,-26.2,8.9,,,02/12/2014
newscast_2,:01 -,22:06,-28,4.9,-8.2,,02/12/2014
newscast_2,:01 -,23:06,-29,6.7,-5.9,,02/12/2014
newscast_0,:01 -,00:06,-28.6,5.8,-10.2,,02/13/2014
newscast_0,:01 -,01:06,-28.7,5.5,-9.2,,02/13/2014
newscast_0,:01 -,02:06,-28.6,5.8,-10.1,,02/13/2014
newscast_0,:01 -,03:06,-28.2,5.9,-9.8,,02/13/2014
newscast_0,:01 -,04:06,-28.9,5.7,-10,,02/13/2014
newscast_0,:01 -,05:11,-31,5.5,-7.8,,02/13/2014
newscast_0,:30 -,05:35,-29,5.2,-10.6,,02/13/2014
newscast_0,:01 -,06:11,-26.9,8,,,02/13/2014
newscast_0,:30 -,06:35,-29.1,4.9,-3.6,,02/13/2014
newscast_0,:01 -,07:11,-27.3,7.3,-11.9,,02/13/2014
newscast_0,:30 -,07:35,-28.9,5.9,-7.1,,02/13/2014
newscast_0,:01 -,08:11,-27.6,7.7,-9.4,,02/13/2014
newscast_0,:30 -,08:35,-27.7,3.8,-8.9,,02/13/2014
newscast_0,:01 -,09:11,-27.9,7.8,-9.6,,02/13/2014
newscast_0,:30 -,09:35,-28.2,4.1,-6.5,,02/13/2014
newscast_1,:01 -,10:11,-27.3,7.4,-9.6,,02/13/2014
newscast_1,:30 -,10:35,-28.3,4.9,-10.2,,02/13/2014
newscast_1,:01 -,11:11,-27.8,7.3,-8,,02/13/2014
newscast_1,:30 -,11:35,-28.9,4.2,-9.5,,02/13/2014
newscast_1,:01 -,12:06,-27.4,4.8,-7.7,,02/13/2014
newscast_1,:01 -,13:06,-28.2,7.9,-10.7,,02/13/2014
newscast_1,:01 -,14:06,-28.8,6.3,-11.2,,02/13/2014
newscast_1,:01 -,15:06,-28.7,6.4,-8.2,,02/13/2014
newscast_1,:01 -,16:06,-28.5,7.1,-6.5,,02/13/2014
newscast_1,:30 -,16:35,-27.8,5,-9.6,,02/13/2014
newscast_1,:01 -,17:06,-27.6,5.4,-8.3,,02/13/2014
newscast_1,:30 -,17:35,-28,6,-4.6,,02/13/2014
newscast_1,:01 -,18:06,-26.4,4.7,,,02/13/2014
newscast_1,:30 -,18:35,-27.9,5.3,-12.5,,02/13/2014
newscast_1,:01 -,19:06,-27.3,5.5,-8.5,,02/13/2014
newscast_1,:30 -,19:35,-28.4,5.3,-10.1,,02/13/2014
newscast_2,:01 -,20:06,-27.5,6.1,-9.4,,02/13/2014
newscast_2,:30 -,20:35,-28.5,5.5,-8.9,,02/13/2014
newscast_2,:01 -,21:06,-28.1,5,-9.4,,02/13/2014
newscast_2,:30 -,21:35,-28.8,5.4,-6.9,,02/13/2014
newscast_2,:01 -,22:06,-26.4,5.5,,,02/13/2014
newscast_2,:01 -,23:06,-27.6,6.6,-9.4,,02/13/2014
newscast_0,:01 -,00:06,-28.8,6.2,-9.3,,02/14/2014
newscast_0,:01 -,01:06,-28.3,6.2,-6.4,,02/14/2014
newscast_0,:01 -,02:06,-28.6,5.2,-10.8,,02/14/2014
newscast_0,:01 -,03:06,-27.6,6.2,-5.3,,02/14/2014
newscast_0,:01 -,04:06,-27.5,6.5,-8.6,,02/14/2014
newscast_0,:01 -,05:11,-29.3,6.2,-10.5,,02/14/2014
newscast_0,:30 -,05:35,-29.8,5.6,-8.3,,02/14/2014
newscast_0,:01 -,06:11,-28.1,6.6,-8.7,,02/14/2014
newscast_0,:30 -,06:35,-29.9,6.4,-6.5,,02/14/2014
newscast_0,:01 -,07:11,-27.9,6.6,-9.8,,02/14/2014
newscast_0,:30 -,07:35,-29,4.7,-4.6,,02/14/2014
newscast_0,:01 -,08:11,-26.7,7.8,,,02/14/2014
newscast_0,:30 -,08:35,-29.5,4.7,-8.3,,02/14/2014
newscast_0,:01 -,09:11,-27.6,6.5,-6.6,,02/14/2014
newscast_0,:30 -,09:35,-28.5,5.3,-8.2,,02/14/2014
newscast_1,:01 -,10:11,-27.2,6.7,-7.4,,02/14/2014
newscast_1,:30 -,10:35,-29.3,5.5,-7.1,,02/14/2014
newscast_1,:01 -,11:11,-26.4,8.3,,,02/14/2014
newscast_1,:30 -,11:35,-29.4,4,-10.9,,02/14/2014
newscast_1,:01 -,12:06,-26.7,5.8,,,02/14/2014
newscast_1,:01 -,13:06,-26.8,5,,,02/14/2014
newscast_1,:01 -,14:06,-26.7,7,,,02/14/2014
newscast_1,:01 -,15:06,-26.8,4.8,,,02/14/2014
newscast_1,:01 -,16:06,-27.2,5.4,0,,02/14/2014
newscast_1,:30 -,16:35,-27.7,7.6,-5.9,,02/14/2014
newscast_1,:01 -,17:06,-31.1,5.4,-11.8,,02/14/2014
newscast_1,:30 -,17:35,-28,6.9,-2.3,,02/14/2014
newscast_1,:01 -,18:06,-29.4,6.7,-5.9,,02/14/2014
newscast_1,:30 -,18:35,-26.7,8.6,,,02/14/2014
newscast_1,:01 -,19:06,-30.1,5.4,-9.4,,02/14/2014
newscast_1,:30 -,19:35,-27.2,7.3,-8.4,,02/14/2014
newscast_2,:01 -,20:06,-30.8,5.7,-10.2,,02/14/2014
newscast_2,:30 -,20:35,-27.7,8.3,-8.6,,02/14/2014
newscast_2,:01 -,21:06,-30.2,6.6,-7.2,,02/14/2014
newscast_2,:30 -,21:35,-27.1,7.8,,,02/14/2014
newscast_2,:01 -,22:06,-30.6,5.8,-10.6,,02/14/2014
newscast_2,:01 -,23:06,-28.2,5.2,-9.1,,02/14/2014
newscast_0,:01 -,00:06,-29.2,6.6,-8.6,,02/15/2014
newscast_0,:01 -,01:06,-28.3,6.5,-6.3,,02/15/2014
newscast_0,:01 -,02:06,-28.1,4.6,-10.8,,02/15/2014
newscast_0,:01 -,03:06,-28.8,6.3,-9.9,,02/15/2014
newscast_0,:01 -,04:06,-28.6,5.6,-6,,02/15/2014
newscast_0,:01 -,05:06,-27,5.6,,,02/15/2014
newscast_0,:01 -,06:06,-28.4,6.2,-9.8,,02/15/2014
newscast_0,:01 -,07:06,-27.9,5.4,-9.6,,02/15/2014
newscast_0,:01 -,08:06,-28.1,5.5,-11.3,,02/15/2014
newscast_0,:01 -,09:06,-26.8,6.3,,,02/15/2014
newscast_1,:01 -,10:06,-27.9,6.3,-6.7,,02/15/2014
newscast_1,:01 -,11:06,-25.6,5,,,02/15/2014
newscast_1,:01 -,12:06,-26.2,5.8,,,02/15/2014
newscast_1,:01 -,13:06,-25.6,4.9,,,02/15/2014
newscast_1,:01 -,14:06,-25.6,5.2,,,02/15/2014
newscast_1,:01 -,15:06,-26,6.7,,,02/15/2014
newscast_1,:01 -,16:06,-25.4,5.6,,,02/15/2014
newscast_1,:01 -,17:06,-30.2,4.4,-6.4,,02/15/2014
newscast_1,:01 -,18:06,-28.9,4.9,-8.2,,02/15/2014
newscast_1,:01 -,19:06,-27.9,6.3,-8.9,,02/15/2014
newscast_2,:01 -,20:06,-29.2,4.1,-6.7,,02/15/2014
newscast_2,:01 -,21:06,-28.7,4.2,-5.9,,02/15/2014
newscast_2,:01 -,22:06,-27.6,7.8,-5.5,,02/15/2014
newscast_2,:01 -,23:06,-27.5,5.8,-9.6,,02/15/2014
newscast_0,:01 -,00:06,-27.7,6.5,-5.5,,02/16/2014
newscast_0,:01 -,01:06,-28.2,5.8,-8.3,,02/16/2014
newscast_0,:01 -,02:06,-27.3,5.5,-9.1,,02/16/2014
newscast_0,:01 -,03:06,-28.6,5.6,-9.7,,02/16/2014
newscast_0,:01 -,04:06,-28.9,5.1,-11.3,,02/16/2014
newscast_0,:01 -,05:06,-29.1,6.1,-6.2,,02/16/2014
newscast_0,:01 -,06:06,-29.5,7.1,-10.1,,02/16/2014
newscast_0,:01 -,07:06,-28.7,6.6,-7.2,,02/16/2014
newscast_0,:01 -,08:06,-28.4,6.5,-9.9,,02/16/2014
newscast_0,:01 -,09:06,-27.6,6.9,-6.5,,02/16/2014
newscast_1,:01 -,10:06,-28.6,5.1,-8,,02/16/2014
newscast_1,:01 -,11:06,-25.6,5.4,,,02/16/2014
newscast_1,:01 -,12:06,-25.4,5.9,,,02/16/2014
newscast_1,:01 -,13:06,-25.9,6.1,,,02/16/2014
newscast_1,:01 -,14:06,-25.5,5.8,,,02/16/2014
newscast_1,:01 -,15:06,-25.8,6.3,,,02/16/2014
newscast_1,:01 -,16:06,-25.6,5.5,,,02/16/2014
newscast_1,:01 -,17:06,-26.4,9.9,,,02/16/2014
newscast_1,:01 -,18:06,-28.5,6.9,-4.7,,02/16/2014
newscast_1,:01 -,19:06,-28.8,4.6,-8.2,,02/16/2014
newscast_2,:01 -,20:06,-27.2,7.8,,,02/16/2014
newscast_2,:01 -,21:06,-27.1,8.7,,,02/16/2014
newscast_2,:01 -,22:06,-28.9,4.5,-10.4,,02/16/2014
newscast_2,:01 -,23:06,-26.3,9.9,,,02/16/2014
newscast_0,:01 -,00:06,-28,5.3,-3.2,,02/17/2014
newscast_0,:01 -,01:06,-27.9,5.5,-7.6,,02/17/2014
newscast_0,:01 -,02:06,-27.3,8.4,-10.9,,02/17/2014
newscast_0,:01 -,03:06,-28.8,5.3,-10.3,,02/17/2014
newscast_0,:01 -,04:06,-28.3,5.2,-9.5,,02/17/2014
newscast_0,:01 -,05:11,-28,7,-8,,02/17/2014
newscast_0,:30 -,05:35,-28.9,5.8,-8.7,,02/17/2014
newscast_0,:01 -,06:11,-27.8,7,-10.2,,02/17/2014
newscast_0,:30 -,06:35,-28.3,6.6,-10.8,,02/17/2014
newscast_0,:01 -,07:11,-28,6.6,-8.1,,02/17/2014
newscast_0,:30 -,07:35,-29.5,5.2,-9.2,,02/17/2014
newscast_0,:01 -,08:11,-27.6,7.3,-6.9,,02/17/2014
newscast_0,:30 -,08:35,-29.8,5.1,-7,,02/17/2014
newscast_0,:01 -,09:11,-27,7.3,-78.1,,02/17/2014
newscast_0,:30 -,09:35,-28.8,5.4,-9.1,,02/17/2014
newscast_1,:01 -,10:11,-27.3,7.4,-11.2,,02/17/2014
newscast_1,:30 -,10:35,-28.6,5.2,-7.5,,02/17/2014
newscast_1,:01 -,11:11,-27.3,7.4,-10.4,,02/17/2014
newscast_1,:30 -,11:35,-27.9,5.1,-6,,02/17/2014
newscast_1,:01 -,12:06,-29.2,8.7,-8.1,,02/17/2014
newscast_1,:01 -,13:06,-29.8,5.9,-5.3,,02/17/2014
newscast_1,:01 -,14:06,-29.7,8.6,-8.3,,02/17/2014
newscast_1,:01 -,15:06,-29.5,6.5,-11.5,,02/17/2014
newscast_1,:01 -,16:06,-30,5.2,-9.5,,02/17/2014
newscast_1,:30 -,16:35,-25.9,7.2,,,02/17/2014
newscast_1,:01 -,17:06,-28,6.5,-9.4,,02/17/2014
newscast_1,:30 -,17:35,-25.6,6.9,,,02/17/2014
newscast_1,:01 -,18:06,-28.7,5.8,-5.6,,02/17/2014
newscast_1,:30 -,18:35,-25.5,7.8,,,02/17/2014
newscast_1,:01 -,19:06,-26.8,6.3,,,02/17/2014
newscast_1,:30 -,19:35,-26.3,8,,,02/17/2014
newscast_2,:01 -,20:06,-27.2,6.8,,,02/17/2014
newscast_2,:30 -,20:35,-26.6,7,,,02/17/2014
newscast_2,:01 -,21:06,-27.5,6,-10.7,,02/17/2014
newscast_2,:30 -,21:35,-26.1,6.3,,,02/17/2014
newscast_2,:01 -,22:06,-27.5,6,-4.4,,02/17/2014
newscast_2,:01 -,23:06,-27.8,5.4,-6.7,,02/17/2014
newscast_0,:01 -,00:06,-29,6.3,-7.8,,02/18/2014
newscast_0,:01 -,01:06,-29.2,5.3,-8.2,,02/18/2014
newscast_0,:01 -,02:06,-28.6,5.7,-10.8,,02/18/2014
